ratio = 4.632427197625457, flow_size = 0.067158MB
ratio = 6.041530882089432, flow_size = 0.038158MB
ratio = 2.456398633531951, flow_size = 0.59049MB
ratio = 10.716506781343037, flow_size = 0.074541MB
ratio = 4.170602747649467, flow_size = 0.048627MB
ratio = 2.26312041463159, flow_size = 2.377995MB
ratio = 4.002444922615288, flow_size = 0.007377MB
ratio = 2.72530926639593, flow_size = 0.009334MB
ratio = 6.660655951012651, flow_size = 0.023426MB
ratio = 6.532843004438576, flow_size = 0.029384MB
ratio = 3.9332213911952385, flow_size = 0.261969MB
ratio = 3.2655542934208888, flow_size = 2.78128MB
ratio = 2.7235790537565348, flow_size = 0.03161MB
ratio = 4.6214378581781475, flow_size = 0.06974MB
ratio = 2.174413857402228, flow_size = 0.076932MB
ratio = 2.276823695923863, flow_size = 0.0249MB
ratio = 3.428387372576754, flow_size = 0.032409MB
ratio = 4.223549461095818, flow_size = 0.003511MB
ratio = 7.013584364417271, flow_size = 0.014768MB
ratio = 5.539160495190142, flow_size = 0.023594MB
ratio = 4.277493234789474, flow_size = 0.040025MB
ratio = 5.142407129734098, flow_size = 0.07014MB
ratio = 2.299485456338443, flow_size = 4.69927MB
ratio = 2.0010801774698566, flow_size = 0.566672MB
ratio = 4.043573708657682, flow_size = 3.538397MB
ratio = 4.213634299926962, flow_size = 0.00807MB
ratio = 2.948317649221923, flow_size = 0.054348MB
ratio = 4.666635837786303, flow_size = 0.046043MB
ratio = 6.1203779082691305, flow_size = 4.288867MB
ratio = 7.318038943917322, flow_size = 0.969422MB
ratio = 3.3126922840695268, flow_size = 5.012837MB
ratio = 5.5879551384322905, flow_size = 0.019576MB
ratio = 5.889475033707931, flow_size = 0.157708MB
ratio = 4.512771254254739, flow_size = 5.717615MB
ratio = 2.4966658675661013, flow_size = 4.391931MB
ratio = 2.3782570797843614, flow_size = 0.512511MB
ratio = 2.361030553358526, flow_size = 0.952809MB
ratio = 4.685335336409486, flow_size = 1.81743MB
ratio = 6.34817543832167, flow_size = 0.106066MB
ratio = 2.3596303989061758, flow_size = 1.619306MB
ratio = 5.8151727402507705, flow_size = 7.022976MB
ratio = 3.1214023493412935, flow_size = 0.022804MB
ratio = 3.8530543835591304, flow_size = 2.875192MB
ratio = 3.908228269719474, flow_size = 0.009211MB
ratio = 4.552569265193512, flow_size = 0.002382MB
ratio = 3.260058930363855, flow_size = 0.079529MB
