ratio = 56.802773834225185, flow_size = 0.009989MB
ratio = 41.165721375398796, flow_size = 0.035334MB
ratio = 2.0687364728711097, flow_size = 0.060566MB
ratio = 2.2488179669030735, flow_size = 0.062187MB
ratio = 7.996194779713419, flow_size = 0.150993MB
ratio = 41.84492123845736, flow_size = 0.07641MB
ratio = 323.61758957654723, flow_size = 0.028921MB
ratio = 93.30205410259289, flow_size = 0.056632MB
ratio = 2.724890745963393, flow_size = 7.365379MB
ratio = 199.59036341363822, flow_size = 0.046815MB
ratio = 8.609771967085118, flow_size = 7.325027MB
ratio = 23.746863468634686, flow_size = 0.192802MB
ratio = 11.917259574572038, flow_size = 3.806795MB
ratio = 26.926670659707366, flow_size = 0.040124MB
ratio = 126.27845202656286, flow_size = 0.004935MB
ratio = 115.01639344262296, flow_size = 0.021522MB
ratio = 3.084855968666191, flow_size = 0.518952MB
ratio = 2.0230830459007696, flow_size = 0.035614MB
ratio = 4.928606929849475, flow_size = 0.286328MB
ratio = 7.2954406676165275, flow_size = 0.18477MB
ratio = 100.03897797897645, flow_size = 0.056184MB
ratio = 7.259753946986963, flow_size = 7.34751MB
ratio = 25.215062471078205, flow_size = 0.003862MB
ratio = 38.23725555741267, flow_size = 0.04347MB
ratio = 7.324652777777778, flow_size = 0.024404MB
ratio = 10.55397761774971, flow_size = 5.891599MB
ratio = 186.27410103684093, flow_size = 0.008899MB
ratio = 83.67218852076529, flow_size = 0.001486MB
ratio = 43.9752453823117, flow_size = 1.278795MB
ratio = 11.259176796245036, flow_size = 0.098985MB
ratio = 2.481455743443235, flow_size = 1.754412MB
ratio = 3.6059858230506694, flow_size = 0.127926MB
ratio = 8.836739824984209, flow_size = 1.845784MB
ratio = 225.81786125991727, flow_size = 0.076645MB
ratio = 225.8040166204986, flow_size = 0.021302MB
ratio = 28.056818181818183, flow_size = 0.02566MB
ratio = 15.379716789852447, flow_size = 2.106761MB
ratio = 36.664637784938535, flow_size = 0.00069MB
ratio = 6.74591070469718, flow_size = 8.830394MB
ratio = 43.198818066694805, flow_size = 0.006891MB
ratio = 3.036825745108795, flow_size = 0.226923MB
ratio = 297.1672735297363, flow_size = 0.008857MB
ratio = 13.947341804159555, flow_size = 0.089424MB
ratio = 17.580171766864005, flow_size = 0.043805MB
